id,title,text,label
1,BREAKING: Government to give free laptops to ALL c,"BREAKING: Government to give free laptops to ALL citizens, register NOW before midnight or lose your chance forever!",FAKE
2,The census bureau began the second phase of househ,   THE CENSUS BUREAU BEGAN THE SECOND PHASE OF HOUSEHOLD DATA COLLECTION IN URBAN DISTRICTS THIS WEEK.   ,REAL
3,A new public library opened in the provincial capi,"A new public library opened in the provincial capital, offering free membership to students and residents.",real
4,The stock exchange closed slightly higher on Wedne,"The stock exchange closed slightly higher on Wednesday, led by gains in the banking and energy sectors.",REAL
5,Officials confirmed that construction on the new m,"Officials confirmed that construction on the new metro line will begin in the first quarter, according to the transport authority.",REAL
6,Local man cures his blindness using only this hous,,FAKE
7,Doctors HATE this one simple trick that cures diab,Doctors HATE this one simple trick that cures diabetes overnight without any medicine!!!,FAKE
8,The central bank governor addressed a press confer,The central bank governor addressed a press conference to explain the reasoning behind the latest policy adjustments., FAKE
9,You won't BELIEVE what this celebrity said about t,You won't BELIEVE what this celebrity said about the moon landing being completely fake!,FAKE
10,The transport authority introduced an online booki,The transport authority introduced an online booking system for intercity bus services starting next month.     ,REAL
11,Aliens have landed in the capital city and the med,"Aliens have landed in the capital city and the media is hiding it from you, watch the leaked footage now!",FAKE
12,The electricity regulator approved a minor tariff ,The electricity regulator approved a minor tariff adjustment following a routine quarterly review.,REAL
13,The city administration launched a tree plantation,The city administration launched a tree plantation drive aiming to plant ten thousand saplings across public parks.,
14,The Ministry of Education announced updates to the,"The Ministry of Education announced updates to the secondary school curriculum, to be implemented from the next academic year.",REAL
15,ALERT: A giant asteroid will hit earth next Friday,ALERT: A giant asteroid will hit earth next Friday and world leaders are keeping it a secret!,FAKE
16,Eating this vegetable at night can DOUBLE your lif,Eating this vegetable at night can DOUBLE your lifespan according to a shocking new discovery!,Fake
17,A team of archaeologists uncovered pottery fragmen,A team of archaeologists uncovered pottery fragments dating back several centuries near an excavation site in Sindh.,REAL
18,Local authorities completed repair work on a major,Local authorities completed repair work on a major highway that had been damaged during the monsoon season.,REAL
19,This 5000 year old remedy cures every disease know,,FAKE
20,The State Bank of Pakistan raised its key interest,The State Bank of Pakistan raised its key interest rate by 100 basis points during its monetary policy meeting on Monday.,REAL
21,This ancient trick used by kings makes your hair g,"This ancient trick used by kings makes your hair grow back in just 7 days, salons hate it!",REAL 
22,The government allocated additional funds to upgra,The government allocated additional funds to upgrade rural health facilities in the annual budget.,REAL
23,"WARNING: Your phone is being tracked right now, cl","WARNING: Your phone is being tracked right now, click here immediately to stop them from stealing your data!",FAKE
24,Sensational discovery: this fruit peel that you th,"Sensational discovery: this fruit peel that you throw away is worth more than gold, do not waste it!",FAKE
25,Famous actor reveals the government has been lying,Famous actor reveals the government has been lying to us for decades in this leaked interview!,FAKE
26,Secret cure for cancer discovered but hidden by bi,"Secret cure for cancer discovered but hidden by big pharma, share before they delete this!",FAKE
27,URGENT: All bank accounts will be frozen tomorrow ,URGENT: All bank accounts will be frozen tomorrow unless you share this message with 10 people immediately!,FAKE
28,The agriculture ministry advised farmers on recomm,The agriculture ministry advised farmers on recommended sowing schedules for the upcoming wheat season.,REAL
29,A conference on renewable energy brought together ,A conference on renewable energy brought together researchers and policymakers from several provinces.,REAL
30,Free money being distributed to everyone who forwa,Free money being distributed to everyone who forwards this message to five WhatsApp groups today!,FAKE
31,"You have been charged 50000 rupees, click this lin","You have been charged 50000 rupees, click this link within 2 hours to reverse the transaction!",FAKE
32,EXPOSED: The real reason schools are closing that ,"EXPOSED: The real reason schools are closing that nobody wants to tell you, must read before deleted!",FAKE
33,Miracle fruit found in local market makes you lose,Miracle fruit found in local market makes you lose 20kg in one week guaranteed or your money back!,FAKE
34,The vaccine contains a microchip that lets them co,"The vaccine contains a microchip that lets them control you, wake up before it is too late!",FAKE
35,University enrollment figures rose modestly this y,"University enrollment figures rose modestly this year compared to the previous academic session, officials said.",REAL
36,They do not want you to know this secret that make,They do not want you to know this secret that makes electricity bills disappear completely!,FAKE
37,New law means you can claim 1 lakh from the govern,New law means you can claim 1 lakh from the government but only if you apply before tonight!,FAKE
38,The national cricket team defeated their opponents,The national cricket team defeated their opponents by five wickets in the second one-day international held in Karachi.,REAL
39,SHOCKING: Scientists confirm drinking this common ,SHOCKING: Scientists confirm drinking this common kitchen ingredient removes all body fat in 3 days!,FAKE
40,Man discovers he can earn 500000 per month from ho,"Man discovers he can earn 500000 per month from home doing nothing, banks want this banned!",FAKE
41,The World Health Organization released its annual ,The World Health Organization released its annual report on global vaccination coverage earlier this week.,REAL
42,Government secretly adding chemicals to tap water ,"Government secretly adding chemicals to tap water to control your mind, experts are terrified!",FAKE
43,A local technology firm reported a twelve percent ,"A local technology firm reported a twelve percent increase in quarterly revenue, according to its financial statement.",REAL
44,Parliament passed a bill regulating electronic was,Parliament passed a bill regulating electronic waste disposal after a debate lasting several hours on Tuesday.,REAL
45,The health department reported a decline in season,The health department reported a decline in seasonal flu cases following the recent vaccination campaign.,REAL
46,A regional trade delegation met with local busines,A regional trade delegation met with local business leaders to discuss export opportunities in the textile sector.,REAL
47,Scientists observed a rare astronomical event that,Scientists observed a rare astronomical event that was visible across parts of the country on Thursday night.,REAL
48,Researchers at a Lahore university published a stu,Researchers at a Lahore university published a study on water conservation techniques in the latest issue of an environmental journal.,REAL
49,The meteorological department forecast light rainf,The meteorological department forecast light rainfall in the northern regions over the coming weekend.,REAL
50,Drink lemon water mixed with this and never visit ,Drink lemon water mixed with this and never visit a doctor again for the rest of your life!,FAKE
4,The stock exchange closed slightly higher on Wedne,"The stock exchange closed slightly higher on Wednesday, led by gains in the banking and energy sectors.",REAL
11,Aliens have landed in the capital city and the med,"Aliens have landed in the capital city and the media is hiding it from you, watch the leaked footage now!",FAKE
