id,title,text,label
1,secret baldness cure hidden by big companies click,secret baldness cure hidden by big companies click here!,FAKE
2,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures as planned.,REAL
3,The State Bank forecast light rainfall up north on,The State Bank forecast light rainfall up north on Wednesday.,REAL
4,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports during the session.,REAL
5,The finance ministry approved a minor routine adju,The finance ministry approved a minor routine adjustment according to the report.,REAL
6,The State Bank opened a new public facility as pla,The State Bank opened a new public facility as planned.,REAL
7,URGENT: your water blocked tomorrow unless you for,URGENT: your water blocked tomorrow unless you forward this they hate this!,FAKE
8,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures this week.,REAL
9,this trick fixes your internet in seven days befor,this trick fixes your internet in seven days before it's deleted!,FAKE
10,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules this month.,REAL
11,The State Bank published findings in a research jo,The State Bank published findings in a research journal earlier today.,REAL
12,scientists say tablets removes all fat click here!,scientists say tablets removes all fat click here!,FAKE
13,The finance ministry held a press conference for r,The finance ministry held a press conference for reporters this month.,REAL
14,The finance ministry released its annual activity ,The finance ministry released its annual activity report officials said.,REAL
15,The State Bank signed a regional cooperation agree,The State Bank signed a regional cooperation agreement on Monday.,REAL
16,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase on Monday.,REAL
17,The State Bank reviewed quarterly performance figu,The State Bank reviewed quarterly performance figures earlier today.,REAL
18,The State Bank upgraded infrastructure for peak de,The State Bank upgraded infrastructure for peak demand on Monday.,REAL
19,"you were charged 50000, click to reverse now limit","you were charged 50000, click to reverse now limited time!",FAKE
20,The State Bank introduced an updated online system,The State Bank introduced an updated online system on Monday.,REAL
21,The State Bank approved a minor routine adjustment,The State Bank approved a minor routine adjustment in a statement.,REAL
22,secret makes your bills vanish completely guarante,secret makes your bills vanish completely guaranteed!,FAKE
23,The State Bank completed scheduled maintenance wor,The State Bank completed scheduled maintenance work officials said.,REAL
24,The State Bank met local business leaders on expor,The State Bank met local business leaders on exports on Wednesday.,REAL
25,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters according to the report.,REAL
26,The finance ministry released its annual activity ,The finance ministry released its annual activity report this month.,REAL
27,The State Bank held a press conference for reporte,The State Bank held a press conference for reporters this week.,REAL
28,The State Bank allocated additional budget funds o,The State Bank allocated additional budget funds officials said.,REAL
29,The State Bank launched a district service initiat,The State Bank launched a district service initiative this week.,REAL
30,aliens landed and media hides the footage wake up!,aliens landed and media hides the footage wake up!,FAKE
31,The finance ministry reported a modest quarterly i,The finance ministry reported a modest quarterly increase on Wednesday.,REAL
32,SHOCKING trick cures blindness overnight don't mis,SHOCKING trick cures blindness overnight don't miss out!,FAKE
33,The State Bank advised residents on seasonal sched,The State Bank advised residents on seasonal schedules on Monday.,REAL
